schemaname,tablename,policyname,permissive,roles,operation,using_expression,with_check
public,clients,clients_can_view_own,PERMISSIVE,{public},SELECT,(id = client_id()),null
public,clients,clients_select_own,PERMISSIVE,{public},SELECT,((id = auth.uid()) OR (owner_email = (auth.jwt() ->> 'email'::text)) OR (auth.role() = 'service_role'::text)),null
public,clients,clients_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,companies,Companies are viewable by client members,PERMISSIVE,{public},ALL,(client_id = client_id()),null
public,companies,companies_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,companies,companies_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,companies,service role full access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),(auth.role() = 'service_role'::text)
public,daily_send_limits,service_role_all_daily_send_limits,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,daily_send_tracker,service_role_all_daily_send_tracker,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,dead_letter_queue,dead_letter_queue_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,dead_letter_queue,dead_letter_queue_can_view_own,PERMISSIVE,{public},ALL,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,dead_letter_queue,dead_letter_queue_select_own,PERMISSIVE,{public},SELECT,((client_id = client_id()) OR (auth.role() = 'service_role'::text)),null
public,dead_letter_queue,dead_letter_queue_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,dead_letters,service_role_all_dead_letters,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovered_companies,discovered_companies_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,discovered_companies,discovered_companies_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_companies,discovered_companies_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))"
public,discovered_companies,discovered_companies_select_own,PERMISSIVE,{public},SELECT,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_companies,discovered_companies_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovered_companies,discovered_companies_update_own,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_contacts,discovered_contacts_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,discovered_contacts,discovered_contacts_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_contacts,discovered_contacts_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))"
public,discovered_contacts,discovered_contacts_select_own,PERMISSIVE,{public},SELECT,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovered_contacts,discovered_contacts_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovered_contacts,discovered_contacts_update_own,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,discovery_dead_letters,service_role_all_discovery_dead_letters,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovery_metrics,service_role_all_discovery_metrics,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,discovery_sources,service_role_all_discovery_sources,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,edge_function_secrets,service_role_all_edge_function_secrets,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,email_events,email_events_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,email_events,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,enrichment_metrics,service_role_all_enrichment_metrics,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,inbound_events,service_role_all_inbound_events,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,inbound_message_claims,service_role_all_inbound_message_claims,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,lead_company_map,service_role_all_lead_company_map,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,lead_import_batches,service_role_all_lead_import_batches,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,leads,Leads are viewable by client members,PERMISSIVE,{public},ALL,(client_id = client_id()),null
public,leads,leads_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,leads,leads_delete_own,PERMISSIVE,{public},DELETE,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,leads,leads_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))"
public,leads,leads_select_own,PERMISSIVE,{public},SELECT,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,leads,leads_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,leads,leads_update_own,PERMISSIVE,{public},UPDATE,"((client_id IN ( SELECT client_members.client_id
   FROM client_members
  WHERE (client_members.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
public,messages,service_role_all_messages,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,negotiation_drafts,service_role_all_negotiation_drafts,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,notification_preferences,Users can manage own notifications,PERMISSIVE,{public},ALL,(user_id = auth.uid()),null
public,notification_preferences,notification_preferences_own_user,PERMISSIVE,{public},ALL,(user_id = auth.uid()),null
public,opportunities,Service role can manage opportunities,PERMISSIVE,{public},ALL,true,true
public,outbound_events,service_role_all_outbound_events,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,outreach,service_role_all_outreach,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,qualification,service_role_all_qualification,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,replies,replies_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,replies,replies_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,replies,replies_insert_own,PERMISSIVE,{public},INSERT,null,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))"
public,replies,replies_select_own,PERMISSIVE,{public},SELECT,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,replies,replies_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,replies,replies_update_own,PERMISSIVE,{public},UPDATE,"((client_id = client_id()) OR (brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,research,service_role_all_research,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,scoring_versions,service_role_all_scoring_versions,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,send_counters,send_counters_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,send_counters,send_counters_can_view_own,PERMISSIVE,{public},SELECT,"((brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,send_counters,send_counters_select_own,PERMISSIVE,{public},SELECT,"((brand_id IN ( SELECT bp.id
   FROM brand_profiles bp
  WHERE (bp.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,send_counters,send_counters_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,sending_domains,service_role_all_sending_domains,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,sent_messages,sent_messages_can_view_own,PERMISSIVE,{public},ALL,"((client_id = client_id()) OR (brand_id IN ( SELECT brand_profiles.id
   FROM brand_profiles
  WHERE (brand_profiles.client_id = client_id()))) OR (auth.role() = 'service_role'::text))",null
public,sent_messages,sent_messages_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,sent_messages,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,signal_performance,service_role_all_signal_performance,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,signal_source_performance,service_role_all_signal_source_performance,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,suppression_list,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,suppression_list,suppression_list_all,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,system_flags,service_role_all_system_flags,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,system_flags,system_flags_all_authenticated,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,system_health,service_role_all_system_health,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,webhook_deliveries,service_role_full_access,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
public,webhook_deliveries,webhook_deliveries_service_role,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),null
