schemaname,tablename,indexname,indexdef
public,leads,idx_leads_conversion,CREATE INDEX idx_leads_conversion ON public.leads USING btree (conversion_value DESC)
public,messages,messages_pkey,CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
public,messages,messages_message_key_unique,CREATE UNIQUE INDEX messages_message_key_unique ON public.messages USING btree (message_key)
public,messages,messages_message_id_unique,CREATE UNIQUE INDEX messages_message_id_unique ON public.messages USING btree (message_id)
public,messages,idx_messages_brand,CREATE INDEX idx_messages_brand ON public.messages USING btree (brand_id)
public,negotiation_drafts,negotiation_drafts_pkey,CREATE UNIQUE INDEX negotiation_drafts_pkey ON public.negotiation_drafts USING btree (id)
public,negotiation_drafts,idx_negotiation_drafts_brand,CREATE INDEX idx_negotiation_drafts_brand ON public.negotiation_drafts USING btree (brand_id)
public,negotiation_drafts,idx_negotiation_company,CREATE INDEX idx_negotiation_company ON public.negotiation_drafts USING btree (company_id)
public,notification_preferences,notification_preferences_user_id_client_id_key,"CREATE UNIQUE INDEX notification_preferences_user_id_client_id_key ON public.notification_preferences USING btree (user_id, client_id)"
public,notification_preferences,notification_preferences_pkey,CREATE UNIQUE INDEX notification_preferences_pkey ON public.notification_preferences USING btree (id)
public,opportunities,opportunity_unique,"CREATE UNIQUE INDEX opportunity_unique ON public.opportunities USING btree (brand_id, domain, source, signal)"
public,opportunities,opportunities_pkey,CREATE UNIQUE INDEX opportunities_pkey ON public.opportunities USING btree (id)
public,opportunities,idx_opportunities_brand_id,CREATE INDEX idx_opportunities_brand_id ON public.opportunities USING btree (brand_id)
public,opportunities,idx_opportunities_signal,CREATE INDEX idx_opportunities_signal ON public.opportunities USING btree (signal)
public,opportunities,idx_opportunities_domain,CREATE INDEX idx_opportunities_domain ON public.opportunities USING btree (domain) WHERE (domain IS NOT NULL)
public,opportunities,idx_opportunities_score,CREATE INDEX idx_opportunities_score ON public.opportunities USING btree (score DESC)
public,opportunities,idx_opportunities_qualification,CREATE INDEX idx_opportunities_qualification ON public.opportunities USING btree (qualification_status) WHERE (qualification_status = 'new'::text)
public,outbound_events,idx_outbound_events_company,CREATE INDEX idx_outbound_events_company ON public.outbound_events USING btree (company_id)
public,outbound_events,idx_outbound_events_brand,CREATE INDEX idx_outbound_events_brand ON public.outbound_events USING btree (brand_id)
public,outbound_events,outbound_events_pkey,CREATE UNIQUE INDEX outbound_events_pkey ON public.outbound_events USING btree (id)
public,outbound_events,idx_outbound_events_product,CREATE INDEX idx_outbound_events_product ON public.outbound_events USING btree (product)
public,outreach,outreach_pkey,CREATE UNIQUE INDEX outreach_pkey ON public.outreach USING btree (id)
public,outreach,idx_outreach_company,CREATE INDEX idx_outreach_company ON public.outreach USING btree (company_id)
public,outreach,idx_outreach_status,CREATE INDEX idx_outreach_status ON public.outreach USING btree (status)
public,outreach,idx_outreach_brand,CREATE INDEX idx_outreach_brand ON public.outreach USING btree (brand_id)
